OID_,_FID,Shape_Leng,fclass,_OID,HOP,POD,DIS_BUS,DIS_MTR,POI_COM,POI_SHOP,POI_SCE,POI_EDU,POI_MED,PR,TD,OPEN,CAR,GREN,ENCL,WAL,IMA,COMP,PM2_5,PM10,CO,TD_label
159,159.0,173.055,residential,159.0,6272.0,103.82758620689656,463.14884128603984,5405.740966087088,5.0,77.0,1.0,23.0,3.0,1.184897701078575,0.0,0.538122495562571,0.015308583665021,0.043435705713466,0.649875993554429,0.184795917218429,0.00106175959418,1.368287156668571,1.377937272246759,2.859570821770956,0.034454821256289,none
160,160.0,98.4254,residential,160.0,6272.0,90.375,379.4265206223894,5333.43038360452,4.0,66.0,1.0,14.0,3.0,1.108478138479965,0.0,0.542558049581,0.02165645001883,0.052686576383675,0.59016784303125,0.2126392920455,0.002502901008327,1.39564695535,1.377937272246759,2.859570821770956,0.034454821256289,none
161,161.0,140.601,residential,161.0,10200.0,66.96296296296296,194.84892376518803,5466.466599509628,0.0,14.0,0.0,2.0,2.0,0.515053474505778,0.0,0.5033535509224,0.015834725621214,0.3436210172722,0.613688876384,0.15676649093232,0.000744261224587,1.311170455628,1.378616167116104,2.859396967909748,0.034453244286003,none
162,162.0,43.4566,residential,162.0,6272.0,84.75,352.0289084298595,5314.23205115145,4.0,49.0,1.0,10.0,3.0,1.035002451885296,0.0,0.51918219754,0.016678530528333,0.112804979684467,0.597193469503333,0.212066822721333,0.001906674549761,1.463599037363333,1.377849092503085,2.859721295188268,0.034454128609252,none
163,163.0,443.665,secondary,163.0,5371.000000000001,6.26829268292683,160.28903004822416,6182.730669473624,0.0,1.0,0.0,0.0,0.0,0.09091141466987,0.0,0.663773093676778,0.006788874246991,0.152178129837222,0.417867650291667,0.005130874434796,0.001044624461388,1.058774347023333,1.37988764498876,2.857508292545023,0.034461259597421,none
164,164.0,64.9583,tertiary,164.0,10200.0,87.92,136.42544964388233,5395.214113645368,0.0,65.0,0.0,12.0,5.0,0.698015515036416,0.0,0.570087233700333,0.0489813256934,0.164386795227667,0.511178098337667,0.113097914958767,0.00669670870982,1.405580698076667,1.378448641987435,2.85965254948616,0.034452140943441,none
165,165.0,148.89,residential,165.0,10200.0,90.32142857142856,130.32857156113943,5413.651791766798,1.0,86.0,0.0,20.0,5.0,0.751811338379653,0.041666666666667,0.610405060182,0.017656257353626,0.05813708937305,0.47048685359475,0.2451900782265,0.009393806917117,1.3775163774525,1.378448641987435,2.85965254948616,0.034452140943441,low
166,166.0,158.125,residential,166.0,8480.0,67.71428571428571,171.37821007766226,4687.293738650131,8.0,70.0,0.0,4.0,5.0,0.473300026847811,0.0,0.5388208596104,0.030677446112558,0.14910153308552,0.558495794189,0.2316685646004,0.000876773696349,1.376495700276,1.381479144250729,2.849095700320432,0.034513737679474,none
167,167.0,454.206,tertiary,167.0,5371.0,6.317073170731708,156.44050896745355,6182.722670989105,0.0,1.0,0.0,0.0,0.0,0.091624541840475,0.0,0.670286347806,0.008966819871815,0.140883513635582,0.400839025722727,0.006362235006546,0.001028973849945,1.050761674565455,1.379897984651881,2.857544197434077,0.034460965038442,none
168,168.0,9.6532,unclassified,168.0,5371.0,4.55,66.08774005642255,6002.431808447148,0.0,0.0,0.0,0.0,0.0,0.13351447151477,0.0,0.69243539097825,0.02935110804545,0.092674163450775,0.33732270677775,0.000275048120424,1.9395207784e-05,1.033612705205,1.379897984651881,2.857544197434077,0.034460965038442,none
